product_id,title,url,city,district,ward,street,full_address,price_total,price_per_m2,area,frontage,road_width,bedrooms,bathrooms,floors,direction,interior,legal_status,post_rank,price_trend_1y,has_elevator,near_park,is_frontage_road,description,posted_date,expiry_date,property_type
45620743,"Chính chủ bản nhà biệt thự mặt tiền Đường 5, Tăng Nhơn Phú, 48,6 tỷ, 642,8m2",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-5-phuong-tang-nhon-phu-b-1-71/chinh-chu-ban-mat-tien-uong-5-48-6-ty-642-8m2-pr45620743,Hồ Chí Minh,Thành phố Thủ Đức,Phường Tăng Nhơn Phú B,Đường 5,"6, Đường 5, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Hồ Chí Minh",48600.0,48.6,642.8,16.0,12.0,,2.0,3,Đông - Nam,Không nội thất,Sổ đỏ/ Sổ hồng,Tin VIP Kim Cương,,False,True,False,"Nhà biệt thự tại 6, Đường 5, Phường Tăng Nhơn Phú, Hồ Chí Minh (địa chỉ cũ: Thành phố Thủ Đức, Hồ Chí Minh) với diện tích 642,8m² và giá 48,6 tỷ VND. + 3 tầng, hướng cửa chính và ban công Đông Nam. + Mặt tiền rộng 16m, ngõ vào 12m, thuận tiện cho ô tô. + Pháp lý đầy đủ, sổ đỏ. Điểm cộng: Biệt thự được thiết kế hiện đại, không gian sống thoải mái, thích hợp cho gia đình lớn. Mặt tiền rộng rãi, phù hợp cho kinh doanh nhiều lĩnh vực như nhà hàng, cà phê, văn phòng công ty nếu cần. Môi trường sống yên tĩnh, thoáng đãng. Gần các tiện ích như:
- Các trường đại học như đại học Sư Phạm Kỹ Thuật, đại học Hutech, đại học Giao Thông Vận Tải, đại học Tài chính.
- Gần Vincom Lê Văn Việt, công viên đường sách Hồ Thị Tư. Vị trí nhà: Https://maps.app.goo.gl/tzQ4aWs7Suggiut59?g_st=ic Liên hệ ngay để biết thêm thông tin chi tiết qua số điện thoại 0399 566 *** (Liên hệ Minh Long).",2026-04-24,2026-05-04,villa
43882656,"Cần bán lô góc biệt thự Dương Nội, mặt đường Lê Quang Đạo. LH: 0983 983 ***",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-quang-dao-phuong-duong-noi-khu-do-thi-moi-duong-noi/can-ban-lo-goc-mat-lh-pr43882656,Hà Nội,Quận Hà Đông,Phường Dương Nội,Đường Lê Quang Đạo,"Khu đô thị mới Dương Nội, Đường Lê Quang Đạo, Phường Dương Nội, Quận Hà Đông, Hà Nội",67000.0,67.0,203.0,,40.0,,,3,Đông - Nam,Đã hoàn thiện hết nội thất.,Sổ đỏ/ Sổ hồng,Tin VIP Vàng,2.5,False,False,False,"Thông tin căn biệt thự Dương Nội.
- Diện tích 203m².
- Xây dựng 3 tầng 1 tum. Tình trạng căn biệt thự đã hoàn thiện hết nội thất và đang cho thuê dòng tiền 70 tr/tháng.
- Vị trí nằm trên trục đường Lê Quang Đạo kéo dài và Phan Kế Toại 27m. Nối lên Vinhomes Tây Mỗ. Khu vực An Phú hiện đang kinh doanh sầm uất.
- Cam kết là ảnh thực.
- Pháp lý có sổ đỏ. Anh/chị liên hệ 0983 983 *** xem nhà thực tế.",2026-04-28,2026-05-05,villa
45620743,"Chính chủ bản nhà biệt thự mặt tiền Đường 5, Tăng Nhơn Phú, 48,6 tỷ, 642,8m2",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-5-phuong-tang-nhon-phu-b-1-71/chinh-chu-ban-mat-tien-uong-5-48-6-ty-642-8m2-pr45620743,Hồ Chí Minh,Thành phố Thủ Đức,Phường Tăng Nhơn Phú B,Đường 5,"6, Đường 5, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Hồ Chí Minh",48600.0,48.6,642.8,16.0,12.0,,2.0,3,Đông - Nam,Không nội thất,Sổ đỏ/ Sổ hồng,Tin VIP Kim Cương,,False,True,False,"Nhà biệt thự tại 6, Đường 5, Phường Tăng Nhơn Phú, Hồ Chí Minh (địa chỉ cũ: Thành phố Thủ Đức, Hồ Chí Minh) với diện tích 642,8m² và giá 48,6 tỷ VND. + 3 tầng, hướng cửa chính và ban công Đông Nam. + Mặt tiền rộng 16m, ngõ vào 12m, thuận tiện cho ô tô. + Pháp lý đầy đủ, sổ đỏ. Điểm cộng: Biệt thự được thiết kế hiện đại, không gian sống thoải mái, thích hợp cho gia đình lớn. Mặt tiền rộng rãi, phù hợp cho kinh doanh nhiều lĩnh vực như nhà hàng, cà phê, văn phòng công ty nếu cần. Môi trường sống yên tĩnh, thoáng đãng. Gần các tiện ích như:
- Các trường đại học như đại học Sư Phạm Kỹ Thuật, đại học Hutech, đại học Giao Thông Vận Tải, đại học Tài chính.
- Gần Vincom Lê Văn Việt, công viên đường sách Hồ Thị Tư. Vị trí nhà: Https://maps.app.goo.gl/tzQ4aWs7Suggiut59?g_st=ic Liên hệ ngay để biết thêm thông tin chi tiết qua số điện thoại 0399 566 *** (Liên hệ Minh Long).",2026-04-24,2026-05-04,villa
43882656,"Cần bán lô góc biệt thự Dương Nội, mặt đường Lê Quang Đạo. LH: 0983 983 ***",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-quang-dao-phuong-duong-noi-khu-do-thi-moi-duong-noi/can-ban-lo-goc-mat-lh-pr43882656,Hà Nội,Quận Hà Đông,Phường Dương Nội,Đường Lê Quang Đạo,"Khu đô thị mới Dương Nội, Đường Lê Quang Đạo, Phường Dương Nội, Quận Hà Đông, Hà Nội",67000.0,67.0,203.0,,40.0,,,3,Đông - Nam,Đã hoàn thiện hết nội thất.,Sổ đỏ/ Sổ hồng,Tin VIP Vàng,2.5,False,False,False,"Thông tin căn biệt thự Dương Nội.
- Diện tích 203m².
- Xây dựng 3 tầng 1 tum. Tình trạng căn biệt thự đã hoàn thiện hết nội thất và đang cho thuê dòng tiền 70 tr/tháng.
- Vị trí nằm trên trục đường Lê Quang Đạo kéo dài và Phan Kế Toại 27m. Nối lên Vinhomes Tây Mỗ. Khu vực An Phú hiện đang kinh doanh sầm uất.
- Cam kết là ảnh thực.
- Pháp lý có sổ đỏ. Anh/chị liên hệ 0983 983 *** xem nhà thực tế.",2026-04-28,2026-05-05,villa
45392180,"Giảm 1 tỷ biệt thự cao cấp 10,5m x 18m (189m²) compound Liên Phường liền kề Global City Đỗ Xuân Hợp",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phuoc-long-b-hung-phu-2/gap-ban-cao-cap-compound-global-city-o-xuan-hop-pr45392180,Hồ Chí Minh,Quận 9,Phường Phước Long B,,"Hưng Phú 2, Phường Phước Long B, Quận 9, Hồ Chí Minh",24000.0,24.0,189.0,10.5,16.0,6.0,5.0,3,,Đầy đủ,Sổ đỏ/ Sổ hồng,Tin VIP Vàng,,True,True,False,"Cơ hội hiếm để sở hữu biệt thự đẳng cấp ngay trung tâm khu Đông, nơi đang bùng nổ hạ tầng và giá trị bất động sản. Vị trí chiến lược: Nằm trong khu dân cư compound Liên Phường, khu vực dân trí cao, đồng bộ. Liền kề Global City, đại đô thị chuẩn quốc tế đang phát triển mạnh. Cách công viên chỉ 30m, không gian sống xanh, thoáng. Cách Global City chỉ 500m. Gần vòng xoay Liên Phường chưa đến 300m, kết nối giao thông cực kỳ thuận tiện. Đón đầu tuyến Metro số 5 và số 6 trong tương lai. Thông tin biệt thự: Diện tích: 10,5m x 18m (189m²). Kết cấu: Biệt thự song lập 2 lầu, mái tum, xây mới hoàn toàn, vào ở ngay. Thiết kế hiện đại, tối ưu công năng, có chỗ thang máy chờ. Công năng đầy đủ cho gia đình đa thế hệ: Phòng khách rộng, sang trọng. Bếp riêng biệt, thoáng. 6 phòng ngủ. 5 phòng vệ sinh. Phòng thờ trang nghiêm. Phòng giặt riêng. Gara ô tô trong nhà. Tiện ích riêng biệt: Sân vườn rộng, thoáng. Hồ cá Koi phong thủy, tăng sinh khí. Đường trước nhà rộng 16m, xe hơi tránh nhau thoải mái. Giá bán đầu tư chỉ: 24 tỷ ~ 126tr/m² còn thương lượng. Cọc trong tháng 4. So với vị trí và tiềm năng khu vực Global City, đây là mức giá còn rất nhiều dư địa tăng trưởng. Định giá tương lai: Khi Metro 5 đường Liên Phường vận hành & Global City hình thành trung tâm tài chính thương mại, toàn bộ khu vực sẽ bước vào chu kỳ tăng mới. Đặc biệt trong nội khu dự án đang chuẩn bị tháng 6 2026 mở bán khu căn hộ cao cấp và nhà phố thương mại với số lượng 1000 căn hộ, bên em làm đại lý chiến lược F1. Đây sẽ là điểm nhấn để tạo đà tăng giá cực tốt trong tương lai gần. Biên độ kỳ vọng: X1.5 x2 trong 15 năm là hoàn toàn hợp lý. LH em Trọng Quý 0945 438 *** - xem nhà làm việc chính chủ nhé.",2026-04-15,2026-04-30,villa
45378566,Siêu hiếm biệt thự Lideco 222m2 mt 12m giá chỉ 24.4 tỷ đón sóng đầu tư quý II 2026,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-32-thi-tran-tram-troi-khu-do-thi-moi-lideco-bac-quoc-lo-32/hang-oc-quyen-vuon-ang-cap-gia-sieu-hap-dan-98tr-m2-s-288m2-full-gia-28-ty-pr45378566,Hà Nội,Huyện Hoài Đức,Thị trấn Trạm Trôi,Đường Quốc lộ 32,"Khu đô thị mới Lideco - Bắc Quốc lộ 32, Đường Quốc lộ 32, Thị trấn Trạm Trôi, Huyện Hoài Đức, Hà Nội",110000.0,110.0,222.0,12.0,13.0,,,1,Đông - Bắc,,Sổ đỏ/ Sổ hồng,Tin VIP Vàng,3.0,False,False,False,"Cơ hội hiếm sở hữu biệt thự diện tích lớn tại Khu đô thị Lideco khu đô thị cao cấp phía Tây Hà Nội, nơi đang được giới đầu tư săn tìm mạnh mẽ. Hiện tại có 1 căn duy nhất diện tích 222m² mặt tiền 12m siêu rộng giá chỉ 24.4 tỷ (~110tr/m²), thuộc nhóm giá tốt nhất khu Bắc Quốc Lộ 32. Sản phẩm hiếm biên độ tăng giá cao phù hợp giữ tiền lớn. Thông tin chi tiết (chuẩn keyword seo). Diện tích: 222m². Mặt tiền: 12m (siêu hiếm giá trị cao). Giá bán: 24.4 tỷ (~110tr/m²). Loại hình: Biệt thự nhà vườn Lideco Hoài Đức. Đường nội khu rộng ô tô tránh quy hoạch đồng bộ. Biệt thự Lideco Hoài Đức. Bán biệt thự Bắc Quốc Lộ 32. Nhà vườn Lideco Hà Nội. Biệt thự Hoài Đức giá tốt. Lý do sản phẩm này đáng xuống tiền ngay.
- Diện tích 222m² cực hiếm quỹ căn lớn tại Lideco gần như không còn. Mặt tiền 12m dễ thiết kế biệt thự đẳng cấp / kinh doanh / cho thuê. Giá đang vùng tốt nhất thị trường dư địa tăng còn lớn. Khu dân cư đã về ở đông khai thác sử dụng ngay. Tiềm năng tăng giá mạnh (đánh trúng nhà đầu tư). Nằm sát trục Quốc Lộ 32 kết nối Nhổn Mỹ Đình Cầu Giấy nhanh. Hưởng lợi trực tiếp từ quy hoạch Hoài Đức lên quận. Khu Tây Hà Nội đang là tâm điểm phát triển hạ tầng và bất động sản. Biệt thự tại Khu đô thị Lideco hiện: Thanh khoản tốt. Nguồn cung hạn chế. Được nhà đầu tư giữ tiền dài hạn. Nhà đầu tư tài chính lớn cần giữ tiền an toàn. Khách mua biệt thự ở thực đẳng cấp. Nhà đầu tư trung dài hạn đón sóng tăng giá. Liên hệ ngay: 0986 576 *** . Xem nhà thực tế . Nhận thông tin pháp lý chi tiết. Làm việc trực tiếp chủ hỗ trợ giá tốt nhất. Cam kết: Giá thật 100%. Không đăng ảo. Hỗ trợ giao dịch nhanh an toàn.",2026-04-23,2026-04-30,villa
45637769,38 tỷ! Biệt thự San Hô 150m2 Đông Nam view hồ - sát công viên! Chủ cần bán gấp trong tháng 5/2026,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-vinhomes-ocean-park-gia-lam/ban-gap-38-ty-view-ho-khu-san-ho-150m2-ong-nam-sat-cong-vien-tai-vhop1-pr45637769,Hà Nội,Huyện Gia Lâm,Xã Dương Xá,,"Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Huyện Gia Lâm, Hà Nội",38000.0,38.0,150.0,10.0,13.5,,,5,Đông - Nam,Không nội thất.,Sổ đỏ.,Tin VIP Bạc,11.3,False,True,False,"Em cần bán nhanh căn song lập San Hô 150m², hướng Đông Nam, sát góc, view hồ Ngọc Trai 24,5ha cực đẹp. Thuộc dãy San Hô 10 vị trí trung tâm, đường giọt lệ ở rất riêng tư, yên tĩnh, là căn duy nhất còn sót lại vị trí đẹp chủ cần bán gấp trong tháng .
- Diện tích: 150m².
- Xây dựng: 77,2/sàn.
- Mặt tiền: 10m.
- Tổng sàn xây dựng 291m². Cho 3,5 tầng.
- Hướng nhà Đông Nam hợp gia chủ Đông Tứ Mệnh.
- Sổ đỏ chính chủ, sẵn sổ không vay.
- Giá bán gấp: 38 tỷ. Khu san hô thiết kế ô bàn cờ, đường thông hè thoáng, gần các tiện ích trung tâm rất thích hợp để ở hoặc đầu tư lâu dài, đất vượng khí, rất ít căn bán.
- Chi tiết LH: 0962 758 *** (Thu Hà) em đưa đi xem nhà và tư vấn miễn phí ạ. Hỗ trợ thủ tục mua bán nhanh gọn sau 1 tuần có sổ đỏ cất két ạ.",2026-04-28,2026-05-05,villa
45537046,39 tỷ! Biệt thự song lập Ngọc Trai 150.3m2 khu đông cạnh hồ + công viên tại VHOP1,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-ngoc-trai-9-xa-duong-xa-vinhomes-ocean-park-gia-lam/39-ty-song-lap-150m2-khu-ong-canh-ho-cong-vien-tai-vhop1-pr45537046,Hà Nội,Huyện Gia Lâm,Xã Dương Xá,Đường Ngọc Trai 9,"Vinhomes Ocean Park Gia Lâm, Đường Ngọc Trai 9, Xã Dương Xá, Huyện Gia Lâm, Hà Nội",39000.0,39.0,150.3,8.5,13.5,,,4,Tây - Bắc,Không nội thất.,Sổ đỏ/ Sổ hồng,Tin VIP Bạc,11.3,False,True,False,"Em cần bán nhanh căn biệt thự song lập Ngọc Trai - Tiểu khu đảo lớn. Vị trí trung tâm, cạnh công viên. Cư dân về ở đông đúc, rất hiếm căn bán.
- Diện tích đất: 150.3m² (MT 8,5m).
- Hướng Tây Bắc.
- Xây dựng: 76,8m²/sàn, xây 3,5 tầng.
- Tổng DTXD: 266,8m².
- Giá bán rẻ nhất thị trường: 39 tỷ.
- Ngoài ra em Hà còn nhiều quỹ căn chuyển nhượng biệt thự cả 4 phân khu, giá tốt nhất thị trường. LH ngay: 0962 758 *** (Ms Hà) để xem nhà và được tư vấn .",2026-04-28,2026-05-05,villa
43979331,Bán biệt thự E8 mặt đường đôi 40m KĐT Phương Viên Mailand Hanoi City giá tốt nhất thị trường,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-dai-lo-thang-long-xa-an-khanh-4-mailand-hanoi-city/ban-e8-mat-doi-40m-kdt-phuong-vien-gia-tot-nhat-thi-truong-pr43979331,Hà Nội,Huyện Hoài Đức,Xã An Khánh,Đường Đại lộ Thăng Long,"Mailand Hanoi City, Đường Đại lộ Thăng Long, Xã An Khánh, Huyện Hoài Đức, Hà Nội",250000.0,250.0,255.0,12.0,40.0,,,4,Đông - Nam,Không nội thất.,Sổ đỏ/ Sổ hồng.,Tin VIP Bạc,23.5,False,True,False,"Bán biệt thự Phương Viên Bắc An Khánh | Giá đầu tư Dòng tiền sẵn có Vị trí trung tâm Mailand Hanoi City. Cập nhật mới nhất | Chính chủ gửi bán căn biệt thự cực đẹp tại khu E8 mặt đường đôi 40m trục chính KĐT Phương Viên Bắc An Khánh. Liên hệ chuyên gia Ngô Quang Việt Hotline: 0328 626 *** . Thông tin chi tiết biệt thự Phương Viên Bắc An Khánh (Mailand Hanoi City). Diện tích đất: 255m². Mặt tiền: 12m. Hướng: Đông Nam siêu mát view sân golf 9 hố và công viên siêu thoáng. Tình trạng: Xây thô có thể cho làm kho. Thiết kế: Không gian mở đón nắng đón gió tự nhiên tối ưu công năng sân vườn rộng gara riêng. Pháp lý: Chính chủ, sẵn sàng giao dịch. Nằm trong khu đô thị quy hoạch đẳng cấp Mailand Hanoi City (Splendora): Đối diện sân golf 9 hố, gần công viên trung tâm, trường học quốc tế, trục chính giao thông nội khu. Giao thông thuận tiện: Kết nối Đại lộ Thăng Long, Vành Đai 3.5, di chuyển nhanh về Mỹ Đình trung tâm Hà Nội chỉ 15 phút. Giá bán: Cực kỳ hợp lý cho nhà đầu tư | Có thương lượng cho khách thiện chí. Anh chị đang tìm một căn biệt thự vừa đẹp vừa sinh lời ngay vị trí đắc địa pháp lý rõ ràng, thì đây là lựa chọn không nên bỏ qua. Liên hệ tư vấn & đi xem thực tế. Ngô Quang Việt 0328 626 *** . Công ty Cổ phần phát triển Địa Ốc Tiên Phong. CS1: Shophouse 127 Vista Lago, An Khánh, Hoài Đức, Hà Nội. CS2: 15A Vĩ Cầm 4, KĐT An Lạc Green Symphony, Hoài Đức, Hà Nội. CS3: LK1 - 08, KĐT Tân Tây Đô, Đan Phượng, Hà Nội. Chuyên tư vấn phân phối biệt thự, liền kề, shophouse các khu đô thị cao cấp phía Tây Hà Nội: Mailand Hanoi City.",2026-04-26,2026-05-03,villa
45630623,"Bán nhà phố 3lầu sân thượng giá 10tỷ2 TL, hỗ trợ vay, 85m2(5x17)m đối diện công viên, biệt thự",https://batdongsan.com.vn/ban-nha-rieng-duong-an-duong-vuong-phuong-16-1-60/ban-pho-3lau-san-thuong-gia-10ty2-tl-ho-tro-vay-85m2-5x17-oi-dien-cong-vien-biet-thu-pr45630623,Hồ Chí Minh,Quận 8,Phường 16,Đường An Dương Vương,"43 Đường số 2 , Đường An Dương Vương, Phường 16, Quận 8, Hồ Chí Minh",10200.0,10.2,85.0,5.0,12.0,4.0,5.0,4,Nam,Cơ bản,Sổ đỏ/ Sổ hồng,Tin VIP Bạc,12.0,True,True,False,"Nằm ở vị trí đắc địa tại đường An Dương Vương, phường Phú Định, Hồ Chí Minh (Quận 8, Hồ Chí Minh cũ), nhà phố 3 lầu + sân thượng công năng bao gồm: 1 phòng làm việc, 3 phòng ngủ với 5 phòng tắm, diện tích 85m², diện tích sử dụng 300m² đang chờ đón chủ nhân mới. Với giá chỉ 10,2 tỷ VND thương lượng mạnh, hỗ trợ vay vốn ngân hàng, đây là cơ hội tuyệt vời cho những ai đang tìm kiếm không gian sống lý tưởng. + Nhà có thiết kế hiện đại, đầy đủ tiện nghi cơ bản, máy lạnh Toshiba mới 100%. + Hướng cửa chính và ban công đều hướng Nam, mang lại ánh sáng tự nhiên và gần sông gió mát không khí trong lành. + Mặt tiền rộng 5m, phù hợp cho việc kinh doanh hoặc cho thuê, làm văn phòng công ty kết hợp ở. + Đường vào rộng 12m, đối diện công viên thuận tiện cho xe hơi ra vào dễ dàng, đậu đỗ thoải mái cho gia đình, khách, công ty. + Pháp lý đầy đủ, đảm bảo an toàn cho giao dịch. Nhà mới xây dựng xong 1 năm, đã hoàn công xây dựng tháng . (Khu này ít nhà được hoàn công, đường số 12 nhà liền kế xây dựng sẵn nhanh xuống cấp). + Nhà do chính chủ xây dựng (nhà làm công ty xây dựng) chất lượng và công năng đảm bảo, thiết kế tối giản hiện đại. + Đã chừa sẵn ô thang máy chờ, có làm hố thang máy bê tông cốt thép chờ lúc xây nhà. + KDC nội khu, đối diện công viên, biệt thự sang trọng, gần khu chung tư 5 tháp Jasari Garden III đang xây dựng bàn giao 2028 hứa hẹn lượng cư dân về sinh sống nhộn nhịp hiện đại. + Nằm trong vành đai II, gần Võ Văn Kiệt di chuyển tới trung tâm Q1 trong 20' mà không hề kẹt xe. Vị trí này cũng di chuyển hướng Đông - Tây thành phố thuận tiện. + Gần bến xe miền Tây, trung tâm trung chuyển hàng hoá Quận 6,... Liên hệ ngay để biết thêm chi tiết qua số điện thoại 0567 223 *** hoặc liên hệ với Đình Quý.",2026-04-26,2026-05-03,villa
45314741,Villa 2 mặt tiền trung tâm hiếm hàng khu 400/7 Điện Biên Phủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-dien-bien-phu-phuong-thanh-khe-dong-50/villa-2-tien-trung-tam-hiem-hang-khu-400-7-ien-phu-pr45314741,Đà Nẵng,Quận Thanh Khê,Phường Thanh Khê Đông,Đường Điện Biên Phủ,"400/7, Đường Điện Biên Phủ, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",12750.0,12.75,70.0,5.0,5.0,3.0,4.0,3,Đông - Bắc,Đầy đủ,Sổ đỏ/ Sổ hồng,Tin VIP Bạc,19.8,False,False,False,"Villa 2 mặt tiền trung tâm hiếm hàng khu Điện Biên Phủ . Thông tin nhà: Diện tích: 70m² (5m x 14m). Kết cấu: 3 tầng kiên cố. Villa 2 mặt tiền thoáng vĩnh viễn. Đường quy hoạch: 5.5m. Ô tô đậu trước nhà thoải mái ngày đêm. Full nội thất đẹp, dọn vào ở ngay. Hướng Đông Bắc mát mẻ. Điểm giá trị của căn nhà: Vị trí cực hiếm ngay trung tâm. Không gian thoáng 2 mặt tiền ở cực sướng. Phù hợp ở, làm văn phòng, homestay hoặc đầu tư giữ tiền. Nhà đẹp như hình xem là thích. Giá: 12,75 tỷ (còn thương lượng cho khách thiện chí). 0932 646 *** có hoa hồng cho người giới thiệu.",2026-04-23,2026-04-30,villa
44837428,Quận 7 - Biệt thự sân vườn - 322m2 - ngang 12m x 30m - 4PN - sân đậu 10 oto - chỉ 16 tỉ 250,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-thi-thap-phuong-phu-thuan-3-59/hiem-cuc-re-biet-thu-san-vuon-quan-7-322m2-ngang-12m-dai-30m-chi-16ti25-pr44837428,Hồ Chí Minh,Quận 7,Phường Phú Thuận,Đường Nguyễn Thị Thập,"Đường Nguyễn Thị Thập, Phường Phú Thuận, Quận 7, Hồ Chí Minh",16250.0,16.25,322.0,12.0,8.0,4.0,4.0,3,,Đầy đủ,Sổ đỏ/ Sổ hồng,Tin VIP Bạc,8.9,False,False,False,"Chủ nhà lớn tuổi ngộp bank cần bán biệt thự sân vườn chính chủ, 322m², chỉ 50tr4/m², giá cực rẻ. Sổ hồng riêng chính chủ, hoàn công đầy đủ, sổ đang vay bank 5 tỉ. Cơ hội đầu tư hiếm có, biệt thự có sân vườn trước nhà đậu được 10 chiếc oto... Diện tích công nhận: 322m², ngang 12m, dài 30m. Kết cấu: Chủ thiết kế dạng biệt thự mini, gồm 4 phòng ngủ rộng, 4 nhà vệ sinh, phòng khách, bếp, ban công, sân vườn cực lớn... Đặc biệt là nhà có phòng ngủ dưới trệt cho người lớn tuổi, sân vườn trước nhà rộng rãi, không khí trong lành, mát mẻ, Cực hiếm tại Quận 7, không tìm được căn thứ 2. Vị trí nhà ngay Khu Dân Cư Bộ Công An, đoạn ngã tư Nguyễn Thị Thập và Huỳnh Tấn Phát, thuộc Phường Phú Thuận Quận 7. Bán kính 1 km là TTTM Crescent Mall, Bệnh Viện Tâm Đức, KĐT Phú Mỹ Hưng, Trường ĐH Tôn Đức Thắng, ĐH RMit, Siêu Thị Lotte Mart, hệ thống các ngân hàng... Liền kề Quận 4, Q1, Q5, Q8, giao thông thuận tiện. Liên hệ xem ngay vì căn đẹp thường bán rất nhanh, em Tuấn 0933 112 *** .",2026-04-25,2026-05-02,villa
45574967,"Bán biệt thự đồi DIC An Sơn Đà Lạt, 422m² ngang 16m hoàn công thang máy nội thất cao cấp",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-trieu-viet-vuong-phuong-4_3-khu-dan-cu-doi-an-son/ban-oi-dic-a-lat-422m-ngang-16m-hoan-cong-thang-may-noi-that-cao-cap-pr45574967,Lâm Đồng,Thành phố Đà Lạt,Phường 4,Đường Triệu Việt Vương,"Khu dân cư Đồi An Sơn, Đường Triệu Việt Vương, Phường 4, Thành phố Đà Lạt, Lâm Đồng",35000.0,35.0,422.0,16.0,10.0,9.0,10.0,4,Đông - Bắc,Đầy đủ,Sổ đỏ/ Sổ hồng,Tin VIP Bạc,,True,False,False,"Bán biệt thự đồi DIC An Sơn Đà Lạt 422m² ngang 16m hoàn công thang máy nội thất cao cấp. Diện tích: 422m² (16m x 26m), đất ở đô thị. Kết cấu: 1 hầm, 1 trệt, 1 lầu, 1 áp mái. Gồm 9 phòng ngủ, 21 phòng quản gia, hầm để được 2 ô tô, sân vườn BBQ, có thang máy. Pháp lý: Sổ hồng riêng đã hoàn công. Biệt thự mới nội thất cao cấp tọa lạc trong khu nghỉ dưỡng cao cấp DIC An Sơn khu vực tập trung nhiều villa sang trọng, sở hữu view thung lũng thông và đồi Đống Đa thoáng đẹp. Giá bán: 35 tỷ. Xin liên hệ Tuấn Anh Dalat Homes: 0939 369 *** . Sàn giao dịch BĐS Đà Lạt Homes. 39 Mai Hắc Đế, Phường Cam Ly Đà Lạt. http://Www. Dalathomes.com",2026-04-25,2026-05-02,villa
44498716,"Bán gấp biệt thự shopvilla Licogi 13 Khuất Duy Tiến- 148m2, MT 7,2m, 6 tầng, 10 oto đỗ, 41 tỷ (CTL)",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-khuat-duy-tien-phuong-nhan-chinh-licogi-13-tower/ban-gap-shopvilla-13-148m-mt-7-2m-6-tang-10-oto-do-41-ty-ctl-pr44498716,Hà Nội,Quận Thanh Xuân,Phường Nhân Chính,Đường Khuất Duy Tiến,"Licogi 13 Tower, Đường Khuất Duy Tiến, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",41000.0,41.0,148.0,7.2,20.0,8.0,,6,,,"- Sổ đỏ chính chủ, cất két.",Tin VIP Bạc,16.2,False,False,False,"Chính chủ hàng xóm gửi bán gấp biệt thự shopvilla Licogi 13 Khuất Duy Tiến, Nhân Chính, Thanh Xuân, Hà Nội.
- Giá 41 tỷ (có gia lộc cho khách thiện chí). Liên hệ xem nhà và sổ: 0965 118 *** .
- Diện tích 148m², mặt tiền 7,2m.
- Xây dựng 6 tầng thiết kế tối ưu công năng sử dụng, cầu thang giữa.
- Nhà thoáng 3 mặt, đường trước nhà 20m, vỉa hè siêu rộng, ô tô đỗ ngày đêm, bảo vệ .
- Sử dụng làm văn phòng, cty vận chuyển, trung tâm dạy học, phòng khám, spa thẩm mỹ,... rất hợp lý.
- Sổ đỏ chính chủ, cất két.
- Giá 41 tỷ (có gia lộc cho khách thiện chí). Liên hệ: E Tâm - 0965 118 *** chuyên mặt phố - nhà dòng tiền.",2026-04-24,2026-05-01,villa
